h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.336875664187035,0.2731137088204038,0.265143464399575,0.21891604675876727,0.2454835281615303,0.336875664187035,0.44739638682252925,0.4027630180658874,0.8320935175345375,0.4075451647183847,0.3129649309245483,0.18916046758767277,0.23060573857598293,0.10945802337938373,0.3193411264612115,0.2853347502656748,0.31349628055260365,0.3607863974495217,0.38894792773645054,0.3315621679064825,0.3336875664187035,0.3538788522848033,0.27258235919234847,0.25504782146652494
0.3172157279489905,0.2683315621679065,0.26301806588735377,0.2614240170031881,0.2343251859723698,0.3767268862911795,0.43198724760892654,0.5217853347502656,0.7492029755579168,0.41126461211477155,0.40223166843783204,0.1498405951115834,0.23538788522848028,0.12752391073326258,0.3028692879914983,0.279489904357067,0.2975557917109458,0.324654622741764,0.4107332624867162,0.43198724760892654,0.36609989373007434,0.34112646121147716,0.26408076514346446,0.2577045696068013
0.29224229543039315,0.23219978746014877,0.28905419766206164,0.23751328374070146,0.2608926673751328,0.414452709883103,0.42454835281615305,0.4824654622741764,0.7853347502656746,0.4192348565356004,0.3852284803400637,0.18225292242295424,0.27895855472901165,0.16684378320935175,0.283740701381509,0.2975557917109458,0.30340063761955366,0.32093517534537713,0.41817215727948986,0.3480340063761955,0.3437832093517535,0.330499468650372,0.2683315621679065,0.2587672688629118
0.30233793836344314,0.21200850159404894,0.29436769394261414,0.2842720510095643,0.23591923485653563,0.344845908607864,0.40648246546227423,0.46758767268862905,0.6466524973432518,0.39054197662061635,0.24920297555791712,0.23113708820403828,0.22210414452709876,0.1333687566418704,0.29914984059511146,0.2747077577045696,0.31562167906482463,0.32518597236981933,0.42667375132837404,0.322529224229543,0.2933049946865036,0.3257173219978745,0.2683315621679065,0.2534537725823591
0.3007438894792773,0.2555791710945803,0.2975557917109458,0.29436769394261414,0.22848034006376194,0.39532412327311367,0.390010626992561,0.518597236981934,0.5589798087141338,0.3522848034006375,0.22741764080765145,0.21891604675876727,0.21838469713071193,0.14133900106269923,0.30605738575983,0.2747077577045696,0.3315621679064825,0.3533475026567482,0.38575982996811903,0.35069075451647186,0.3150903294367693,0.32678002125398514,0.2879914984059512,0.25504782146652494
0.3018065887353878,0.2800212539851221,0.28905419766206164,0.26939426142401696,0.25132837407013814,0.4282678002125399,0.4011689691817215,0.5223166843783209,0.589798087141339,0.3831030818278427,0.3007438894792773,0.23698193411264612,0.1918172157279489,0.1551540913921361,0.2842720510095643,0.3092454835281615,0.303931987247609,0.31455897980871417,0.41339001062699254,0.351222104144527,0.3767268862911795,0.30233793836344314,0.2895855472901168,0.2587672688629118
0.2763018065887353,0.24814027630180663,0.2927736450584485,0.28108395324123264,0.24814027630180663,0.4351753453772582,0.38735387885228467,0.5451647183846972,0.5621679064824654,0.4192348565356004,0.31455897980871417,0.2577045696068013,0.20775770456960677,0.09617428267800222,0.339001062699256,0.303931987247609,0.3108395324123273,0.34962805526036134,0.4404888416578107,0.3177470775770457,0.365568544102019,0.3459086078639745,0.28692879914984065,0.26886291179596183
0.2741764080765143,0.27895855472901165,0.2832093517534538,0.2720510095642933,0.22104144527098826,0.43198724760892654,0.37035069075451654,0.6333687566418703,0.5414452709883103,0.308182784272051,0.27364505844845916,0.22848034006376194,0.17534537725823593,0.1551540913921361,0.29861849096705634,0.281615302869288,0.31349628055260365,0.3862911795961742,0.4096705632306057,0.31987247608926667,0.35069075451647186,0.3262486716259298,0.298087141339001,0.26408076514346446
0.25929861849096697,0.2598299681190223,0.29117959617428263,0.2853347502656748,0.21944739638682242,0.41976620616365573,0.373538788522848,0.60201912858661,0.4946865037194474,0.30605738575983,0.3172157279489905,0.16896918172157274,0.30127523910733267,0.1673751328374071,0.28108395324123264,0.2948990435706695,0.3517534537725823,0.371413390010627,0.4330499468650372,0.34643995749202966,0.334750265674814,0.2933049946865036,0.28905419766206164,0.24920297555791712
0.2784272051009565,0.25079702444208296,0.279489904357067,0.28267800212539845,0.2343251859723698,0.4665249734325186,0.41870350690754504,0.5775770456960679,0.688097768331562,0.3533475026567482,0.3427205100956428,0.1838469713071201,0.2332624867162593,0.15781083953241243,0.31349628055260365,0.3241232731137088,0.33634431455897984,0.3767268862911795,0.41817215727948986,0.33953241232731135,0.31668437832093516,0.28586609989372996,0.2704569606801275,0.2518597236981935
0.2598299681190223,0.25398512221041447,0.2747077577045696,0.24814027630180663,0.2104144527098831,0.44473963868225286,0.40648246546227423,0.5621679064824654,0.6094580233793836,0.4075451647183847,0.29436769394261414,0.2656748140276301,0.20722635494155162,0.30127523910733267,0.31190223166843783,0.32306057385759834,0.365568544102019,0.38363443145589804,0.4096705632306057,0.30499468650371947,0.29117959617428263,0.29861849096705634,0.2768331562167906,0.24920297555791712
0.2747077577045696,0.2598299681190223,0.30499468650371947,0.3087141339001063,0.22104144527098826,0.4580233793836344,0.3995749202975557,0.5345377258235919,0.5488841657810839,0.40701381509032936,0.29702444208289047,0.21519659936238045,0.17003188097768324,0.25504782146652494,0.308182784272051,0.3336875664187035,0.3400637619553667,0.3894792773645059,0.38416578108395316,0.334750265674814,0.30021253985122215,0.3273113708820403,0.2731137088204038,0.24920297555791712
0.25132837407013814,0.22954303931987244,0.2752391073326248,0.29436769394261414,0.22476089266737512,0.44314558979808705,0.42029755579171085,0.6110520722635493,0.5005313496280552,0.4128586609989372,0.2555791710945803,0.2614240170031881,0.1323060573857599,0.3172157279489905,0.3018065887353878,0.32093517534537713,0.3437832093517535,0.3852284803400637,0.37035069075451654,0.35919234856535603,0.3028692879914983,0.3071200850159405,0.3161530286928798,0.23751328374070146
0.2444208289054198,0.2136025504782146,0.2656748140276301,0.27258235919234847,0.23804463336875661,0.41551540913921353,0.4032943676939425,0.7321997874601487,0.5217853347502656,0.412327311370882,0.22741764080765145,0.20669500531349627,0.17640807651434642,0.31243358129649296,0.30127523910733267,0.31030818278427197,0.30233793836344314,0.3990435706695005,0.3581296493092455,0.34643995749202966,0.30605738575983,0.3129649309245483,0.26780021253985115,0.24920297555791712
0.23485653560042513,0.257173219978746,0.26301806588735377,0.2619553666312433,0.2444208289054198,0.48724760892667374,0.3974495217853347,0.5988310308182783,0.49362380446333676,0.29596174282677995,0.1849096705632306,0.2587672688629118,0.1530286928799149,0.2948990435706695,0.27895855472901165,0.3336875664187035,0.30499468650371947,0.42029755579171085,0.4330499468650372,0.351222104144527,0.3336875664187035,0.30605738575983,0.2656748140276301,0.22954303931987244
