,co,umidade,temperatura,data,conormal
8636,21.66,36.83,27.84,2015-12-13 00:00:05,0.1971307120085016
8637,21.62,36.83,27.84,2015-12-13 00:02:35,0.1950053134962806
8638,21.99,36.84,27.84,2015-12-13 00:05:05,0.2146652497343251
8639,21.72,36.87,27.84,2015-12-13 00:07:35,0.20031880977683308
8640,22.15,36.91,27.84,2015-12-13 00:10:05,0.22316684378320928
8641,21.72,37.62,27.84,2015-12-13 00:12:35,0.20031880977683308
8642,21.87,37.79,27.84,2015-12-13 00:15:05,0.2082890541976621
8643,21.83,37.79,27.84,2015-12-13 00:17:35,0.20616365568544093
8644,21.61,37.79,27.84,2015-12-13 00:20:05,0.19447396386822527
8645,21.35,37.79,27.84,2015-12-13 00:22:36,0.1806588735387886
8646,21.19,37.79,27.84,2015-12-13 00:25:06,0.17215727948990442
8647,21.57,37.79,27.84,2015-12-13 00:27:36,0.19234856535600425
8648,21.16,37.79,27.84,2015-12-13 00:30:06,0.17056323060573858
8649,20.97,37.79,27.84,2015-12-13 00:32:36,0.16046758767268857
8650,21.01,37.79,27.84,2015-12-13 00:35:06,0.16259298618490975
8651,21.4,37.79,27.84,2015-12-13 00:37:36,0.18331562167906476
8652,21.25,37.79,27.84,2015-12-13 00:40:06,0.17534537725823593
8653,21.08,37.8,27.84,2015-12-13 00:42:36,0.1663124335812964
8654,21.27,37.8,27.84,2015-12-13 00:45:06,0.17640807651434642
8655,21.18,37.8,27.84,2015-12-13 00:47:36,0.17162592986184907
8656,21.49,37.8,27.84,2015-12-13 00:50:06,0.18809776833156208
8657,21.78,37.81,27.73,2015-12-13 00:52:36,0.20350690754516476
8658,21.38,37.82,27.73,2015-12-13 00:55:06,0.18225292242295424
8659,21.36,37.83,27.79,2015-12-13 00:57:36,0.18119022316684374
8660,20.87,37.83,27.84,2015-12-13 01:00:07,0.1551540913921361
8661,20.82,37.83,27.84,2015-12-13 01:02:37,0.15249734325185973
8662,20.57,37.82,27.84,2015-12-13 01:05:07,0.13921360255047824
8663,20.74,37.82,27.84,2015-12-13 01:07:37,0.14824654622741756
8664,21.06,37.83,27.79,2015-12-13 01:10:07,0.16524973432518592
8665,21.12,37.85,27.75,2015-12-13 01:12:37,0.1684378320935176
8666,21.87,37.94,27.62,2015-12-13 01:15:07,0.2082890541976621
8667,21.34,38.78,27.5,2015-12-13 01:17:37,0.18012752391073325
8668,20.95,38.8,27.64,2015-12-13 01:20:07,0.15940488841657807
8669,21.01,38.8,27.55,2015-12-13 01:22:37,0.16259298618490975
8670,20.75,38.8,27.5,2015-12-13 01:25:07,0.1487778958554729
8671,20.67,38.8,27.71,2015-12-13 01:27:37,0.1445270988310309
8672,20.82,38.8,27.6,2015-12-13 01:30:07,0.15249734325185973
8673,20.87,38.8,27.64,2015-12-13 01:32:38,0.1551540913921361
8674,21.13,38.8,27.43,2015-12-13 01:35:08,0.16896918172157274
8675,20.88,38.81,27.52,2015-12-13 01:37:38,0.15568544102019125
8676,20.6,38.82,27.6,2015-12-13 01:40:08,0.14080765143464408
8677,20.82,38.82,27.51,2015-12-13 01:42:38,0.15249734325185973
8678,20.8,38.83,27.47,2015-12-13 01:45:08,0.15143464399574924
8679,20.95,38.86,27.48,2015-12-13 01:47:38,0.15940488841657807
8680,20.68,39.55,27.44,2015-12-13 01:50:08,0.14505844845908608
8681,20.63,39.66,27.52,2015-12-13 01:52:38,0.14240170031880972
8682,20.98,39.79,27.14,2015-12-13 01:55:08,0.1609989373007439
8683,20.98,39.79,27.35,2015-12-13 01:57:38,0.1609989373007439
8684,20.72,39.8,27.46,2015-12-13 02:00:08,0.14718384697130707
8685,20.73,39.8,27.42,2015-12-13 02:02:38,0.1477151965993624
8686,21.24,39.8,26.86,2015-12-13 02:05:09,0.17481402763018059
8687,20.91,40.31,27.25,2015-12-13 02:07:39,0.15727948990435708
8688,20.92,40.59,27.06,2015-12-13 02:10:09,0.15781083953241243
8689,20.8,40.77,27.12,2015-12-13 02:12:39,0.15143464399574924
8690,20.68,40.78,26.94,2015-12-13 02:15:09,0.14505844845908608
8691,21.36,40.79,26.86,2015-12-13 02:17:39,0.18119022316684374
8692,20.98,40.79,26.85,2015-12-13 02:20:09,0.1609989373007439
8693,20.82,40.79,26.85,2015-12-13 02:22:39,0.15249734325185973
8694,20.88,40.8,26.85,2015-12-13 02:25:09,0.15568544102019125
8695,21.27,40.82,26.85,2015-12-13 02:27:39,0.17640807651434642
8696,21.42,41.51,26.85,2015-12-13 02:30:09,0.18437832093517545
8697,21.24,41.77,26.85,2015-12-13 02:32:39,0.17481402763018059
8698,21.56,41.77,26.85,2015-12-13 02:35:09,0.1918172157279489
8699,21.75,41.78,26.85,2015-12-13 02:37:40,0.20191285866099892
8700,21.61,41.79,26.85,2015-12-13 02:40:10,0.19447396386822527
8701,21.22,41.79,26.85,2015-12-13 02:42:40,0.1737513283740701
8702,21.13,41.8,26.85,2015-12-13 02:45:10,0.16896918172157274
8703,21.04,41.81,26.85,2015-12-13 02:47:40,0.16418703506907542
8704,20.84,41.82,26.85,2015-12-13 02:50:10,0.15356004250797026
8705,21.12,41.82,26.85,2015-12-13 02:52:40,0.1684378320935176
8706,20.99,41.86,26.85,2015-12-13 02:55:10,0.16153028692879906
8707,20.9,41.87,26.85,2015-12-13 02:57:40,0.15674814027630174
8708,21.4,42.32,26.75,2015-12-13 03:00:10,0.18331562167906476
8709,21.01,42.91,26.7,2015-12-13 03:02:40,0.16259298618490975
8710,20.91,42.85,26.77,2015-12-13 03:05:10,0.15727948990435708
8711,21.4,42.97,26.66,2015-12-13 03:07:41,0.18331562167906476
8712,21.8,42.96,26.66,2015-12-13 03:10:11,0.20456960680127528
8713,21.44,42.97,26.66,2015-12-13 03:12:41,0.18544102019128594
8714,21.15,42.8,26.83,2015-12-13 03:15:11,0.17003188097768324
8715,20.81,42.79,26.84,2015-12-13 03:17:41,0.1519659936238044
8716,21.13,42.94,26.69,2015-12-13 03:20:11,0.16896918172157274
8717,22.71,43.01,26.62,2015-12-13 03:22:41,0.25292242295430395
8718,21.45,42.94,26.69,2015-12-13 03:25:11,0.1859723698193411
8719,20.94,42.94,26.69,2015-12-13 03:27:41,0.15887353878852292
8720,21.71,43.05,26.59,2015-12-13 03:30:11,0.19978746014877793
8721,21.85,43.01,26.63,2015-12-13 03:32:41,0.20722635494155162
8722,21.81,42.94,26.71,2015-12-13 03:35:11,0.20510095642933043
8723,21.32,42.97,26.68,2015-12-13 03:37:42,0.17906482465462276
8724,20.95,43.0,26.65,2015-12-13 03:40:12,0.15940488841657807
8725,21.23,43.0,26.65,2015-12-13 03:42:42,0.17428267800212544
8726,21.09,43.46,26.2,2015-12-13 03:45:12,0.16684378320935175
8727,21.06,44.18,26.42,2015-12-13 03:47:42,0.16524973432518592
8728,21.1,44.35,26.27,2015-12-13 03:50:12,0.1673751328374071
8729,21.18,44.76,25.86,2015-12-13 03:52:42,0.17162592986184907
8730,21.02,44.39,26.24,2015-12-13 03:55:12,0.1631243358129649
8731,21.13,44.77,25.86,2015-12-13 03:57:42,0.16896918172157274
8732,20.83,44.75,25.9,2015-12-13 04:00:12,0.1530286928799149
8733,20.85,44.8,25.86,2015-12-13 04:02:42,0.15409139213602557
8734,20.97,45.74,25.86,2015-12-13 04:05:13,0.16046758767268857
8735,21.16,45.76,25.86,2015-12-13 04:07:43,0.17056323060573858
8736,21.06,45.76,25.86,2015-12-13 04:10:13,0.16524973432518592
8737,20.84,45.76,25.86,2015-12-13 04:12:43,0.15356004250797026
8738,21.09,45.76,25.86,2015-12-13 04:15:13,0.16684378320935175
8739,21.08,45.76,25.86,2015-12-13 04:17:43,0.1663124335812964
8740,20.9,45.76,25.86,2015-12-13 04:20:13,0.15674814027630174
