,co,umidade,temperatura,data,conormal
5184,21.42,46.76,26.99,2015-12-07 00:02:18,0.18437832093517545
5185,21.71,46.77,27.23,2015-12-07 00:04:48,0.19978746014877793
5186,21.48,46.77,27.48,2015-12-07 00:07:19,0.18756641870350693
5187,21.68,46.76,27.06,2015-12-07 00:09:49,0.1981934112646121
5188,21.75,46.77,27.21,2015-12-07 00:12:19,0.20191285866099892
5189,21.89,46.77,26.86,2015-12-07 00:14:49,0.2093517534537726
5190,21.82,46.78,27.21,2015-12-07 00:17:19,0.20563230605738578
5191,21.82,46.77,26.85,2015-12-07 00:19:49,0.20563230605738578
5192,21.65,46.79,26.98,2015-12-07 00:22:19,0.19659936238044626
5193,21.53,46.78,26.87,2015-12-07 00:24:49,0.19022316684378326
5194,21.6,46.78,26.85,2015-12-07 00:27:19,0.19394261424017012
5195,21.61,46.8,26.85,2015-12-07 00:29:49,0.19447396386822527
5196,21.12,46.8,26.86,2015-12-07 00:32:20,0.1684378320935176
5197,21.06,46.8,26.91,2015-12-07 00:34:50,0.16524973432518592
5198,21.34,46.8,26.86,2015-12-07 00:37:20,0.18012752391073325
5199,21.44,46.81,26.85,2015-12-07 00:39:50,0.18544102019128594
5200,21.64,46.83,26.85,2015-12-07 00:42:20,0.1960680127523911
5201,21.54,47.4,26.85,2015-12-07 00:44:50,0.19075451647183841
5202,21.6,47.75,26.85,2015-12-07 00:47:20,0.19394261424017012
5203,21.61,47.78,26.85,2015-12-07 00:49:50,0.19447396386822527
5204,21.9,47.79,26.85,2015-12-07 00:52:20,0.20988310308182775
5205,21.79,47.85,26.85,2015-12-07 00:54:50,0.20403825717321994
5206,21.77,48.76,26.85,2015-12-07 00:57:20,0.20297555791710944
5207,21.79,48.79,26.85,2015-12-07 00:59:51,0.20403825717321994
5208,21.55,48.85,26.85,2015-12-07 01:02:21,0.19128586609989376
5209,21.66,48.99,26.85,2015-12-07 01:04:51,0.1971307120085016
5210,21.69,49.75,26.85,2015-12-07 01:07:21,0.19872476089266744
5211,21.86,49.8,26.82,2015-12-07 01:09:51,0.20775770456960677
5212,21.54,49.81,26.85,2015-12-07 01:12:21,0.19075451647183841
5213,21.59,49.84,26.85,2015-12-07 01:14:51,0.19341126461211477
5214,21.92,50.46,26.85,2015-12-07 01:17:21,0.21094580233793844
5215,21.89,50.77,26.84,2015-12-07 01:19:51,0.2093517534537726
5216,21.76,50.79,26.83,2015-12-07 01:22:21,0.20244420828905427
5217,21.46,50.77,26.85,2015-12-07 01:24:51,0.18650371944739644
5218,21.61,50.84,26.77,2015-12-07 01:27:22,0.19447396386822527
5219,21.82,51.83,26.48,2015-12-07 01:29:52,0.20563230605738578
5220,21.62,51.93,26.65,2015-12-07 01:32:22,0.1950053134962806
5221,21.68,51.95,26.65,2015-12-07 01:34:52,0.1981934112646121
5222,21.46,51.84,26.77,2015-12-07 01:37:22,0.18650371944739644
5223,21.37,51.95,26.68,2015-12-07 01:39:52,0.1817215727948991
5224,21.26,52.42,26.75,2015-12-07 01:42:22,0.17587672688629127
5225,21.53,52.92,26.58,2015-12-07 01:44:52,0.19022316684378326
5226,21.78,53.04,26.53,2015-12-07 01:47:22,0.20350690754516476
5227,21.62,53.24,26.34,2015-12-07 01:49:52,0.1950053134962806
5228,21.73,53.47,26.1,2015-12-07 01:52:22,0.20085015940488843
5229,21.87,53.24,26.36,2015-12-07 01:54:53,0.2082890541976621
5230,22.08,53.57,26.04,2015-12-07 01:57:23,0.21944739638682242
5231,21.77,53.84,26.12,2015-12-07 01:59:53,0.20297555791710944
5232,21.37,54.64,25.9,2015-12-07 02:02:23,0.1817215727948991
5233,21.4,54.5,26.06,2015-12-07 02:04:53,0.18331562167906476
5234,21.5,54.63,25.92,2015-12-07 02:07:23,0.18862911795961743
5235,21.24,54.4,26.16,2015-12-07 02:09:53,0.17481402763018059
5236,21.26,54.61,25.95,2015-12-07 02:12:23,0.17587672688629127
5237,20.94,54.52,26.03,2015-12-07 02:14:53,0.15887353878852292
5238,21.02,54.7,25.86,2015-12-07 02:17:23,0.1631243358129649
5239,21.13,54.61,25.95,2015-12-07 02:19:53,0.16896918172157274
5240,21.08,54.7,25.86,2015-12-07 02:22:23,0.1663124335812964
5241,20.92,54.32,26.24,2015-12-07 02:24:54,0.15781083953241243
5242,20.87,54.13,26.43,2015-12-07 02:27:24,0.1551540913921361
5243,20.9,54.66,25.9,2015-12-07 02:29:54,0.15674814027630174
5244,21.18,54.23,26.33,2015-12-07 02:32:24,0.17162592986184907
5245,21.66,54.68,25.88,2015-12-07 02:34:54,0.1971307120085016
5246,21.19,54.71,25.86,2015-12-07 02:37:24,0.17215727948990442
5247,21.4,54.71,25.86,2015-12-07 02:39:54,0.18331562167906476
5248,21.54,54.72,25.86,2015-12-07 02:42:24,0.19075451647183841
5249,21.54,54.73,25.86,2015-12-07 02:44:54,0.19075451647183841
5250,21.54,54.76,25.86,2015-12-07 02:47:24,0.19075451647183841
5251,21.28,54.75,25.86,2015-12-07 02:49:54,0.17693942614240177
5252,21.66,55.39,25.86,2015-12-07 02:52:25,0.1971307120085016
5253,21.71,55.68,25.86,2015-12-07 02:54:55,0.19978746014877793
5254,21.34,55.69,25.86,2015-12-07 02:57:25,0.18012752391073325
5255,21.38,55.69,25.86,2015-12-07 02:59:55,0.18225292242295424
5256,21.65,55.7,25.86,2015-12-07 03:02:25,0.19659936238044626
5257,21.13,55.7,25.86,2015-12-07 03:04:55,0.16896918172157274
5258,21.25,55.7,25.86,2015-12-07 03:07:25,0.17534537725823593
5259,21.61,55.71,25.86,2015-12-07 03:09:55,0.19447396386822527
5260,21.53,55.71,25.86,2015-12-07 03:12:25,0.19022316684378326
5261,21.25,55.71,25.86,2015-12-07 03:14:55,0.17534537725823593
5262,21.23,55.71,25.86,2015-12-07 03:17:25,0.17428267800212544
5263,21.45,55.71,25.86,2015-12-07 03:19:55,0.1859723698193411
5264,21.56,55.72,25.86,2015-12-07 03:22:25,0.1918172157279489
5265,21.91,55.73,25.86,2015-12-07 03:24:56,0.2104144527098831
5266,20.88,55.77,25.86,2015-12-07 03:27:26,0.15568544102019125
5267,21.27,55.82,25.86,2015-12-07 03:29:56,0.17640807651434642
5268,20.97,56.36,25.86,2015-12-07 03:32:26,0.16046758767268857
5269,21.11,56.68,25.86,2015-12-07 03:34:56,0.16790648246546225
5270,20.87,56.68,25.86,2015-12-07 03:37:26,0.1551540913921361
5271,21.16,56.68,25.86,2015-12-07 03:39:56,0.17056323060573858
5272,21.11,56.68,25.86,2015-12-07 03:42:26,0.16790648246546225
5273,20.86,56.68,25.86,2015-12-07 03:44:56,0.15462274176408075
5274,21.14,56.68,25.86,2015-12-07 03:47:26,0.1695005313496281
5275,21.32,56.68,25.86,2015-12-07 03:49:56,0.17906482465462276
5276,21.04,56.68,25.86,2015-12-07 03:52:26,0.16418703506907542
5277,21.0,56.69,25.86,2015-12-07 03:54:57,0.1620616365568544
5278,20.83,56.69,25.86,2015-12-07 03:57:27,0.1530286928799149
5279,20.68,56.69,25.86,2015-12-07 03:59:57,0.14505844845908608
5280,20.88,56.69,25.86,2015-12-07 04:02:27,0.15568544102019125
5281,21.1,56.69,25.86,2015-12-07 04:04:57,0.1673751328374071
