,co,umidade,temperatura,data,conormal
2302,23.2,36.76,28.84,2015-12-02 00:01:27,0.27895855472901165
2303,22.87,36.8,28.84,2015-12-02 00:03:57,0.2614240170031881
2304,23.02,36.8,28.84,2015-12-02 00:06:27,0.26939426142401696
2305,22.67,36.8,28.84,2015-12-02 00:08:58,0.25079702444208296
2306,22.38,36.8,28.84,2015-12-02 00:11:28,0.23538788522848028
2307,22.12,36.8,28.84,2015-12-02 00:13:58,0.2215727948990436
2308,22.49,36.8,28.84,2015-12-02 00:16:28,0.2412327311370881
2309,22.85,36.81,28.84,2015-12-02 00:18:58,0.26036131774707766
2310,22.58,36.81,28.84,2015-12-02 00:21:28,0.24601487778958545
2311,22.9,36.81,28.84,2015-12-02 00:23:58,0.26301806588735377
2312,23.13,36.82,28.84,2015-12-02 00:26:28,0.2752391073326248
2313,22.45,36.82,28.84,2015-12-02 00:28:58,0.2391073326248671
2314,21.68,36.82,28.84,2015-12-02 00:31:28,0.1981934112646121
2315,21.83,36.82,28.84,2015-12-02 00:33:58,0.20616365568544093
2316,21.66,36.82,28.84,2015-12-02 00:36:28,0.1971307120085016
2317,22.35,36.82,28.84,2015-12-02 00:38:59,0.23379383634431464
2318,22.55,36.83,28.84,2015-12-02 00:41:29,0.2444208289054198
2319,22.6,36.84,28.84,2015-12-02 00:43:59,0.24707757704569613
2320,22.55,36.87,28.84,2015-12-02 00:46:29,0.2444208289054198
2321,23.14,37.71,28.84,2015-12-02 00:48:59,0.27577045696068014
2322,22.0,37.27,28.84,2015-12-02 00:51:29,0.21519659936238045
2323,21.98,36.97,28.84,2015-12-02 00:53:59,0.21413390010626995
2324,23.4,37.84,28.79,2015-12-02 00:56:29,0.2895855472901168
2325,23.39,37.89,28.76,2015-12-02 00:58:59,0.28905419766206164
2326,22.7,37.91,28.74,2015-12-02 01:01:29,0.2523910733262486
2327,22.73,37.9,28.75,2015-12-02 01:03:59,0.25398512221041447
2328,23.14,37.92,28.73,2015-12-02 01:06:29,0.27577045696068014
2329,22.95,38.05,28.61,2015-12-02 01:09:00,0.2656748140276301
2330,22.18,38.01,28.68,2015-12-02 01:11:30,0.22476089266737512
2331,22.56,37.91,28.77,2015-12-02 01:14:00,0.24495217853347495
2332,22.81,37.95,28.74,2015-12-02 01:16:30,0.25823591923485645
2333,22.66,38.18,28.53,2015-12-02 01:19:00,0.2502656748140276
2334,22.79,39.04,28.57,2015-12-02 01:21:30,0.257173219978746
2335,22.61,39.23,28.42,2015-12-02 01:24:00,0.24760892667375128
2336,22.34,39.1,28.54,2015-12-02 01:26:30,0.2332624867162593
2337,22.54,39.02,28.64,2015-12-02 01:29:00,0.24388947927736446
2338,22.18,39.5,28.15,2015-12-02 01:31:30,0.22476089266737512
2339,22.41,39.21,28.45,2015-12-02 01:34:00,0.23698193411264612
2340,22.42,39.22,28.46,2015-12-02 01:36:30,0.23751328374070146
2341,22.76,39.63,28.07,2015-12-02 01:39:00,0.2555791710945803
2342,22.16,39.82,28.38,2015-12-02 01:41:31,0.22369819341126462
2343,22.66,40.44,28.04,2015-12-02 01:44:01,0.2502656748140276
2344,22.4,40.54,28.09,2015-12-02 01:46:31,0.23645058448459078
2345,22.46,40.61,28.02,2015-12-02 01:49:01,0.23963868225292245
2346,22.3,40.54,28.1,2015-12-02 01:51:31,0.23113708820403828
2347,22.45,40.64,28.0,2015-12-02 01:54:01,0.2391073326248671
2348,22.46,40.8,27.84,2015-12-02 01:56:31,0.23963868225292245
