,co,umidade,temperatura,data,conormal
6335,22.35,40.31,27.84,2015-12-09 00:01:33,0.23379383634431464
6336,22.17,40.77,27.84,2015-12-09 00:04:03,0.22422954303931997
6337,21.84,40.78,27.84,2015-12-09 00:06:33,0.20669500531349627
6338,22.6,40.79,27.84,2015-12-09 00:09:03,0.24707757704569613
6339,22.29,40.79,27.84,2015-12-09 00:11:33,0.23060573857598293
6340,22.05,40.8,27.84,2015-12-09 00:14:04,0.21785334750265678
6341,21.94,40.8,27.84,2015-12-09 00:16:34,0.21200850159404894
6342,22.18,40.8,27.84,2015-12-09 00:19:04,0.22476089266737512
6343,22.53,41.37,27.82,2015-12-09 00:21:34,0.2433581296493093
6344,22.43,41.76,27.84,2015-12-09 00:24:04,0.23804463336875661
6345,22.32,41.78,27.84,2015-12-09 00:26:34,0.23219978746014877
6346,22.61,41.78,27.84,2015-12-09 00:29:04,0.24760892667375128
6347,22.1,41.78,27.84,2015-12-09 00:31:34,0.2205100956429331
6348,22.18,41.78,27.84,2015-12-09 00:34:04,0.22476089266737512
6349,22.2,41.79,27.82,2015-12-09 00:36:34,0.2258235919234856
6350,21.84,41.79,27.82,2015-12-09 00:39:04,0.20669500531349627
6351,21.73,41.8,27.84,2015-12-09 00:41:34,0.20085015940488843
6352,21.9,41.8,27.84,2015-12-09 00:44:04,0.20988310308182775
6353,21.95,41.8,27.84,2015-12-09 00:46:35,0.21253985122210411
6354,21.88,41.81,27.84,2015-12-09 00:49:05,0.20882040382571726
6355,21.5,42.23,27.84,2015-12-09 00:51:35,0.18862911795961743
6356,21.85,41.95,27.84,2015-12-09 00:54:05,0.20722635494155162
6357,21.47,42.21,27.84,2015-12-09 00:56:35,0.1870350690754516
6358,21.14,42.75,27.84,2015-12-09 00:59:05,0.1695005313496281
6359,21.42,42.77,27.84,2015-12-09 01:01:35,0.18437832093517545
6360,21.32,42.77,27.84,2015-12-09 01:04:05,0.17906482465462276
6361,21.25,42.77,27.84,2015-12-09 01:06:35,0.17534537725823593
6362,21.66,42.77,27.81,2015-12-09 01:09:05,0.1971307120085016
6363,21.61,42.77,27.84,2015-12-09 01:11:35,0.19447396386822527
6364,21.47,42.77,27.82,2015-12-09 01:14:05,0.1870350690754516
6365,21.34,42.77,27.84,2015-12-09 01:16:36,0.18012752391073325
6366,20.94,42.78,27.84,2015-12-09 01:19:06,0.15887353878852292
6367,21.2,42.78,27.84,2015-12-09 01:21:36,0.17268862911795957
6368,21.28,42.78,27.84,2015-12-09 01:24:06,0.17693942614240177
6369,21.51,42.78,27.66,2015-12-09 01:26:36,0.18916046758767277
6370,21.37,42.79,27.77,2015-12-09 01:29:06,0.1817215727948991
6371,21.43,42.8,27.84,2015-12-09 01:31:36,0.1849096705632306
6372,21.72,42.8,27.49,2015-12-09 01:34:06,0.20031880977683308
6373,21.71,43.75,27.49,2015-12-09 01:36:36,0.19978746014877793
6374,21.39,43.76,27.64,2015-12-09 01:39:06,0.18278427205100958
6375,21.99,43.77,26.97,2015-12-09 01:41:36,0.2146652497343251
6376,21.78,43.78,27.25,2015-12-09 01:44:07,0.20350690754516476
6377,21.29,43.8,27.7,2015-12-09 01:46:37,0.17747077577045692
6378,21.1,43.78,27.69,2015-12-09 01:49:07,0.1673751328374071
6379,21.03,43.78,27.79,2015-12-09 01:51:37,0.16365568544102024
