,co,umidade,temperatura,data,conormal
7485,20.98,45.97,28.58,2015-12-11 00:00:47,0.1609989373007439
7486,21.12,46.18,28.42,2015-12-11 00:03:18,0.1684378320935176
7487,20.91,46.21,28.39,2015-12-11 00:05:48,0.15727948990435708
7488,21.25,46.24,28.37,2015-12-11 00:08:18,0.17534537725823593
7489,21.03,46.03,28.58,2015-12-11 00:10:48,0.16365568544102024
7490,20.8,45.91,28.71,2015-12-11 00:13:18,0.15143464399574924
7491,20.99,46.03,28.57,2015-12-11 00:15:48,0.16153028692879906
7492,20.83,46.05,28.56,2015-12-11 00:18:18,0.1530286928799149
7493,20.73,46.08,28.53,2015-12-11 00:20:48,0.1477151965993624
7494,20.86,45.77,28.83,2015-12-11 00:23:18,0.15462274176408075
7495,21.27,46.22,28.38,2015-12-11 00:25:49,0.17640807651434642
7496,21.05,46.03,28.58,2015-12-11 00:28:19,0.16471838469713077
7497,20.98,45.86,28.75,2015-12-11 00:30:49,0.1609989373007439
7498,21.28,46.06,28.55,2015-12-11 00:33:19,0.17693942614240177
7499,21.04,45.93,28.68,2015-12-11 00:35:49,0.16418703506907542
7500,21.28,45.86,28.76,2015-12-11 00:38:19,0.17693942614240177
7501,20.99,46.06,28.55,2015-12-11 00:40:49,0.16153028692879906
7502,21.02,45.9,28.71,2015-12-11 00:43:19,0.1631243358129649
7503,21.23,46.47,28.14,2015-12-11 00:45:49,0.17428267800212544
7504,20.82,45.94,28.68,2015-12-11 00:48:19,0.15249734325185973
7505,20.63,45.94,28.68,2015-12-11 00:50:50,0.14240170031880972
7506,20.68,45.78,28.84,2015-12-11 00:53:20,0.14505844845908608
7507,20.99,46.38,28.24,2015-12-11 00:55:50,0.16153028692879906
7508,20.73,45.97,28.65,2015-12-11 00:58:20,0.1477151965993624
7509,20.93,46.22,28.4,2015-12-11 01:00:50,0.15834218916046758
7510,21.23,46.75,27.88,2015-12-11 01:03:20,0.17428267800212544
7511,21.3,46.79,27.84,2015-12-11 01:05:50,0.17800212539851226
7512,21.27,47.02,27.84,2015-12-11 01:08:20,0.17640807651434642
7513,21.06,47.66,27.84,2015-12-11 01:10:50,0.16524973432518592
7514,21.05,47.34,27.94,2015-12-11 01:13:20,0.16471838469713077
7515,21.29,47.74,27.84,2015-12-11 01:15:51,0.17747077577045692
7516,22.82,47.77,27.84,2015-12-11 01:18:21,0.2587672688629118
7517,22.36,47.78,27.84,2015-12-11 01:20:51,0.2343251859723698
7518,21.29,47.8,27.9,2015-12-11 01:23:21,0.17747077577045692
7519,21.08,47.5,28.2,2015-12-11 01:25:51,0.1663124335812964
7520,21.08,47.81,27.85,2015-12-11 01:28:21,0.1663124335812964
7521,20.82,47.46,28.23,2015-12-11 01:30:51,0.15249734325185973
7522,21.13,47.47,28.17,2015-12-11 01:33:21,0.16896918172157274
7523,21.27,47.73,27.91,2015-12-11 01:35:51,0.17640807651434642
7524,21.23,47.79,27.85,2015-12-11 01:38:21,0.17428267800212544
7525,20.92,47.23,28.43,2015-12-11 01:40:51,0.15781083953241243
7526,20.8,46.99,28.64,2015-12-11 01:43:21,0.15143464399574924
7527,20.54,47.64,27.97,2015-12-11 01:45:52,0.1376195536663124
7528,20.55,47.58,28.04,2015-12-11 01:48:22,0.13815090329436774
7529,20.71,47.77,27.85,2015-12-11 01:50:52,0.14665249734325192
7530,20.75,47.78,27.84,2015-12-11 01:53:22,0.1487778958554729
7531,21.28,47.77,27.84,2015-12-11 01:55:52,0.17693942614240177
7532,20.9,47.79,27.84,2015-12-11 01:58:22,0.15674814027630174
7533,21.05,47.79,27.84,2015-12-11 02:00:52,0.16471838469713077
7534,20.88,47.84,27.84,2015-12-11 02:03:22,0.15568544102019125
7535,20.73,47.83,27.84,2015-12-11 02:05:52,0.1477151965993624
7536,20.86,47.83,27.84,2015-12-11 02:08:22,0.15462274176408075
7537,20.64,47.79,27.84,2015-12-11 02:10:52,0.14293304994686507
7538,20.57,47.77,27.85,2015-12-11 02:13:22,0.13921360255047824
7539,20.49,47.79,27.84,2015-12-11 02:15:52,0.13496280552603607
7540,20.76,47.79,27.84,2015-12-11 02:18:22,0.14930924548352825
