,co,umidade,temperatura,data,conormal
4029,23.04,45.75,27.84,2015-12-05 00:01:19,0.2704569606801275
4030,23.16,45.76,27.84,2015-12-05 00:03:49,0.2768331562167906
4031,22.34,45.76,27.84,2015-12-05 00:06:19,0.2332624867162593
4032,22.41,45.76,27.84,2015-12-05 00:08:49,0.23698193411264612
4033,22.66,45.77,27.84,2015-12-05 00:11:19,0.2502656748140276
4034,22.84,45.77,27.84,2015-12-05 00:13:49,0.2598299681190223
4035,22.17,45.77,27.84,2015-12-05 00:16:19,0.22422954303931997
4036,21.82,45.77,27.84,2015-12-05 00:18:50,0.20563230605738578
4037,23.86,45.77,27.84,2015-12-05 00:21:20,0.3140276301806588
4038,22.77,45.77,27.84,2015-12-05 00:23:50,0.25611052072263546
4039,22.87,45.78,27.84,2015-12-05 00:26:20,0.2614240170031881
4040,23.04,45.78,27.84,2015-12-05 00:28:50,0.2704569606801275
4041,21.99,45.79,27.84,2015-12-05 00:31:20,0.2146652497343251
4042,22.43,45.78,27.84,2015-12-05 00:33:50,0.23804463336875661
4043,22.31,45.79,27.84,2015-12-05 00:36:20,0.23166843783209343
4044,22.33,45.79,27.84,2015-12-05 00:38:50,0.23273113708820395
4045,22.24,45.79,27.84,2015-12-05 00:41:20,0.2279489904357066
4046,22.43,45.8,27.84,2015-12-05 00:43:50,0.23804463336875661
4047,22.57,45.86,27.84,2015-12-05 00:46:20,0.2454835281615303
4048,21.95,46.18,27.84,2015-12-05 00:48:51,0.21253985122210411
4049,22.57,45.96,27.84,2015-12-05 00:51:21,0.2454835281615303
4050,22.76,45.95,27.84,2015-12-05 00:53:51,0.2555791710945803
4051,22.13,46.1,27.84,2015-12-05 00:56:21,0.22210414452709876
4052,21.72,45.94,27.84,2015-12-05 00:58:51,0.20031880977683308
4053,22.09,45.86,27.84,2015-12-05 01:01:21,0.21997874601487777
4054,22.37,45.9,27.84,2015-12-05 01:03:51,0.23485653560042513
4055,22.28,45.88,27.84,2015-12-05 01:06:21,0.23007438894792778
4056,22.68,46.39,27.84,2015-12-05 01:08:51,0.25132837407013814
4057,22.3,46.62,27.84,2015-12-05 01:11:21,0.23113708820403828
4058,21.9,46.66,27.84,2015-12-05 01:13:51,0.20988310308182775
