,co,umidade,temperatura,data,conormal
6909,21.09,44.76,27.84,2015-12-10 00:00:58,0.16684378320935175
6910,21.59,44.76,27.84,2015-12-10 00:03:28,0.19341126461211477
6911,21.96,44.76,27.84,2015-12-10 00:05:58,0.21307120085015943
6912,21.51,44.77,27.84,2015-12-10 00:08:28,0.18916046758767277
6913,21.38,44.78,27.84,2015-12-10 00:10:58,0.18225292242295424
6914,21.44,44.79,27.84,2015-12-10 00:13:28,0.18544102019128594
6915,21.72,44.91,27.84,2015-12-10 00:15:58,0.20031880977683308
6916,21.21,44.91,27.84,2015-12-10 00:18:29,0.1732199787460149
6917,21.42,44.81,27.84,2015-12-10 00:20:59,0.18437832093517545
6918,21.51,44.79,27.84,2015-12-10 00:23:29,0.18916046758767277
6919,22.01,45.19,27.84,2015-12-10 00:25:59,0.2157279489904358
6920,21.61,45.76,27.84,2015-12-10 00:28:29,0.19447396386822527
6921,20.98,45.76,27.84,2015-12-10 00:30:59,0.1609989373007439
6922,22.19,45.76,27.84,2015-12-10 00:33:29,0.22529224229543046
6923,21.9,45.77,27.84,2015-12-10 00:35:59,0.20988310308182775
6924,21.31,45.77,27.84,2015-12-10 00:38:29,0.1785334750265674
6925,21.58,45.77,27.84,2015-12-10 00:40:59,0.19287991498405943
6926,21.42,45.77,27.84,2015-12-10 00:43:29,0.18437832093517545
6927,21.26,45.77,27.84,2015-12-10 00:45:59,0.17587672688629127
6928,21.11,45.77,27.84,2015-12-10 00:48:30,0.16790648246546225
6929,20.85,45.77,27.84,2015-12-10 00:51:00,0.15409139213602557
6930,20.91,45.77,27.84,2015-12-10 00:53:30,0.15727948990435708
6931,21.52,45.77,27.84,2015-12-10 00:56:00,0.18969181721572792
6932,21.53,45.77,27.84,2015-12-10 00:58:30,0.19022316684378326
6933,21.03,45.77,27.84,2015-12-10 01:01:00,0.16365568544102024
6934,20.98,45.77,27.84,2015-12-10 01:03:30,0.1609989373007439
6935,20.73,45.77,27.84,2015-12-10 01:06:00,0.1477151965993624
6936,20.5,45.77,27.84,2015-12-10 01:08:30,0.1354941551540914
6937,20.75,45.77,27.84,2015-12-10 01:11:00,0.1487778958554729
6938,21.03,45.77,27.84,2015-12-10 01:13:30,0.16365568544102024
6939,20.88,45.77,27.84,2015-12-10 01:16:01,0.15568544102019125
6940,20.87,45.77,27.84,2015-12-10 01:18:31,0.1551540913921361
6941,20.65,45.77,27.84,2015-12-10 01:21:01,0.14346439957492024
6942,20.71,45.77,27.84,2015-12-10 01:23:31,0.14665249734325192
6943,20.87,45.77,27.84,2015-12-10 01:26:01,0.1551540913921361
6944,20.75,45.77,27.84,2015-12-10 01:28:31,0.1487778958554729
6945,21.1,45.77,27.84,2015-12-10 01:31:01,0.1673751328374071
6946,21.28,45.77,27.84,2015-12-10 01:33:31,0.17693942614240177
6947,20.77,45.79,27.84,2015-12-10 01:36:01,0.1498405951115834
6948,20.62,45.8,27.84,2015-12-10 01:38:31,0.14187035069075457
6949,20.75,45.78,27.84,2015-12-10 01:41:01,0.1487778958554729
6950,20.66,45.77,27.84,2015-12-10 01:43:31,0.1439957492029756
6951,20.91,45.78,27.84,2015-12-10 01:46:02,0.15727948990435708
6952,20.67,45.78,27.84,2015-12-10 01:48:32,0.1445270988310309
6953,20.68,45.78,27.84,2015-12-10 01:51:02,0.14505844845908608
6954,20.21,45.78,27.84,2015-12-10 01:53:32,0.1200850159404889
6955,20.28,45.77,27.84,2015-12-10 01:56:02,0.12380446333687574
6956,20.0,45.77,27.84,2015-12-10 01:58:32,0.10892667375132839
6957,20.28,45.77,27.84,2015-12-10 02:01:02,0.12380446333687574
6958,20.18,45.77,27.84,2015-12-10 02:03:32,0.11849096705632306
6959,20.12,45.77,27.84,2015-12-10 02:06:02,0.11530286928799156
6960,20.28,45.77,27.84,2015-12-10 02:08:32,0.12380446333687574
6961,20.16,45.77,27.84,2015-12-10 02:11:02,0.11742826780021257
6962,20.47,45.77,27.84,2015-12-10 02:13:33,0.13390010626992557
6963,20.28,45.77,27.84,2015-12-10 02:16:03,0.12380446333687574
6964,20.36,45.76,27.84,2015-12-10 02:18:33,0.12805526036131773
6965,20.49,45.76,27.84,2015-12-10 02:21:03,0.13496280552603607
6966,20.32,45.77,27.84,2015-12-10 02:23:33,0.12592986184909674
6967,20.43,45.77,27.84,2015-12-10 02:26:03,0.13177470775770456
6968,20.46,45.77,27.84,2015-12-10 02:28:33,0.1333687566418704
6969,20.29,45.77,27.84,2015-12-10 02:31:03,0.12433581296493089
6970,20.58,45.77,27.84,2015-12-10 02:33:33,0.1397449521785334
6971,20.61,45.79,27.84,2015-12-10 02:36:03,0.14133900106269923
6972,20.71,45.8,27.84,2015-12-10 02:38:33,0.14665249734325192
6973,20.22,45.79,27.84,2015-12-10 02:41:03,0.12061636556854405
6974,20.18,45.8,27.84,2015-12-10 02:43:34,0.11849096705632306
6975,20.25,45.79,27.84,2015-12-10 02:46:04,0.1222104144527099
6976,20.64,45.78,27.84,2015-12-10 02:48:34,0.14293304994686507
6977,20.47,46.19,27.84,2015-12-10 02:51:04,0.13390010626992557
6978,20.52,46.18,27.84,2015-12-10 02:53:34,0.1365568544102019
6979,20.35,46.75,27.84,2015-12-10 02:56:04,0.12752391073326258
6980,20.65,46.76,27.84,2015-12-10 02:58:34,0.14346439957492024
6981,20.4,46.77,27.84,2015-12-10 03:01:04,0.13018065887353872
6982,20.24,46.77,27.84,2015-12-10 03:03:34,0.12167906482465456
6983,20.8,46.8,27.84,2015-12-10 03:06:04,0.15143464399574924
6984,20.5,46.77,27.84,2015-12-10 03:08:35,0.1354941551540914
6985,20.31,46.79,27.84,2015-12-10 03:11:05,0.1253985122210414
6986,20.49,46.78,27.84,2015-12-10 03:13:35,0.13496280552603607
6987,20.49,46.77,27.84,2015-12-10 03:16:05,0.13496280552603607
6988,20.72,46.77,27.84,2015-12-10 03:18:35,0.14718384697130707
